submitter,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
MB-0148,0.009424308,0.058721522,0.0,0.0,0.186148716,0.0,0.0,0.096858048,0.0,0.143196824,0.0,0.02932258,0.0,0.0,0.033351788,0.145823492,0.05792817,0.056535098,0.072621309,0.00568592,0.037620815,0.06676141
MB-0149,0.024666357,0.04417917,0.090168092,0.0,0.014586902,0.169919985,0.0,0.0,0.114862427,0.0,0.195889861,0.0,0.013633801,0.010385627,0.050718344,0.076381341,0.0,0.016602648,0.0,0.138185794,0.0,0.039819653
MB-0150,0.0,0.144686854,0.0,0.026521272,0.0,0.302617331,0.08430581,0.018636615,0.0,0.0,0.0,0.053041638,0.070000331,0.104791209,0.012527668,0.0,0.044596858,0.011952603,0.126321811,0.0,0.0,0.0
MB-0151,0.016595199,0.078788578,0.119054595,0.137212789,0.229036534,0.0,0.014357705,0.053546415,0.021419206,0.0,0.089771192,0.0,0.021587082,0.015375196,0.012775993,0.056718341,0.0,0.05390655,0.023591546,0.0,0.019076359,0.03718672
MB-0152,0.000531731,0.021363976,0.131493807,0.14076213,0.051383466,0.0,0.051050518,0.062563386,0.0,0.081581656,0.0,0.0,0.123259779,0.020316558,0.0,0.003966831,0.0,0.125224275,0.137614531,0.016130913,0.032756444,0.0
MB-0153,0.0,0.034742108,0.16158733,0.105994847,0.227603532,0.0,0.079520628,0.0,0.070283425,0.0,0.095767953,0.0,0.076019678,0.030188736,0.0,0.0,0.071463007,0.0,0.0,0.046828757,0.0,0.0
MB-0154,0.126897484,0.0,0.119827259,0.129045919,0.198697138,0.0,0.033327918,0.0,0.0,0.060797779,0.024079356,0.0,0.0,0.0,0.00093928,0.038624723,0.050200811,0.0,0.0,0.080941734,0.07369067,0.062929929
MB-0155,0.08129236,0.0,0.118032286,0.045435272,0.185737741,0.0,0.058095445,0.031099265,0.078991092,0.055360807,0.010504961,0.0,0.0,0.006340389,0.028364214,0.05452904,0.079403005,0.0,0.0,0.070248349,0.063344323,0.033221451
MB-0156,0.0,0.09939756,0.0985451,0.073399362,0.111076663,0.0,0.0,0.152349379,0.088556148,0.0,0.052340622,0.0,0.079880326,0.044340851,0.046299118,0.032983804,0.040126422,0.008873905,0.0,0.05945249,0.0,0.012378249
MB-0157,0.0,0.195417358,0.105016764,0.038002389,0.136337785,0.0,0.099494582,0.0,0.0,0.050126073,0.019350116,0.0,0.0,0.022470362,0.008092786,0.04377984,0.144573872,0.0,0.0,0.054865905,0.055073798,0.027398369
MB-0158,0.0,0.162604696,0.038516232,0.096942731,0.194787241,0.0,0.06908134,0.029322511,0.0,0.024273016,0.08390148,0.0,0.009354145,0.035734357,0.028318025,0.0,0.0,0.080472778,0.041478895,0.047909564,0.002572909,0.054730081
MB-0159,0.0,0.18580736,0.046885676,0.0,0.13955961,0.0,0.0,0.076916358,0.027943976,0.121881919,0.040596528,0.056934653,0.0,0.03550425,0.0,0.057695196,0.0,0.121856878,0.0376553,0.0,0.006171435,0.044590861
MB-0160,0.064313158,0.0,0.042019364,0.0,0.219863116,0.0,0.0,0.071372242,0.053339276,0.014047704,0.160514333,0.0,0.101405156,0.0,0.004667676,0.01317794,0.110486531,0.0,0.0,0.060704524,0.084088982,0.0
